Ilokano,English
manong,older brother
manang,older sister
ading,younger brother or sister
tatang,father
nanang,mother
uliteg,uncle
ikit,aunt
lilang,grandmother
lilong,grandfather
barok,son
basang,daughter
anak,child
inauna,eldest child
inaudi,youngest child
kabagian,relative
