Ilokano,English
addaanka kadi ti,do you have
agyamanak,thank you
ammo,know
ania,what
ania ti naaramid,what happened
apay,why
diak ammo,i do not know
diko kayat,i do not want
dina ammo,you do not know
ditoy,here
husto,right
idiay,there
isu,"he is, she is"
kaano,when
kamali,wrong
kasano,how
kayatko,i want
ket,and
mabalin,maybe
madi,not
masapulmo kadi ti tulong,do you need help
okey awan ti problema,ok no problem
pangaasim man,please
saan,no
sadinno,where
siak,i am
sika,you are
sinno,who
wen,yes
